helper_auth_false_positive,118820,public,merchant_scan_redemption_qr_v117,"p_business uuid, p_branch uuid, p_qr_token text, p_idempotency_key uuid",false,true,insert,1910,,has_perm|can_module_write|can_module,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,119920,public,get_period_economics_v109,"p_business uuid, p_from date, p_to date, p_branch uuid, p_investment_cents bigint, p_investment_reference text, p_as_of timestamp with time zone",false,true,update,23053,,can_module|require_*,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,121032,public,ensure_published_reward_in_draft_v138,"p_config_version uuid, p_reward uuid, p_expected_snapshot_hash text",false,true,insert,2338,,c45_owner_loyalty_write,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,121035,public,ensure_published_birthday_in_draft_v138,"p_config_version uuid, p_program uuid, p_expected_snapshot_hash text",false,true,insert,2248,,c45_owner_loyalty_write,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,121606,public,save_loyalty_tier_draft_v143,"p_version uuid, p_tier jsonb, p_expected_snapshot_hash text",false,true,insert,2379,,c45_owner_loyalty_write,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,122820,public,platform_workspace_mirror_v177,"p_business uuid, p_branch uuid, p_section text",false,true,insert,2722,,v177_can_view_workspace,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,122937,public,business_delete_promotion_v183,"p_business uuid, p_promotion_id uuid, p_expected_version bigint",false,true,update,1208,,can_module_write|can_module,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,123057,public,business_manage_package_plan_v193,"p_business uuid, p_plan uuid, p_action text, p_name text",false,true,update,1314,,can_module_write|can_module,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,125511,public,platform_crm_save_filter_v297,"p_name text, p_config jsonb, p_id uuid",false,true,update,492,,assert_*,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,125512,public,platform_crm_delete_filter_v297,p_id uuid,false,true,delete,277,,assert_*,Recognized delegated helper before first write; verify helper chain and tenant scope.
helper_auth_false_positive,127031,public,business_set_reward_paused_v326,"p_business uuid, p_reward uuid, p_paused boolean",false,true,update,734,,c45_owner_loyalty_write,Recognized delegated helper before first write; verify helper chain and tenant scope.
