source_project,generated_at_utc,child_schema,child_table,child_column,parent_schema,parent_table,parent_column,constraint_name,child_tenant_scope,authenticated_insert_privilege,authenticated_update_privilege,authenticated_delete_privilege,anon_insert_privilege,anon_update_privilege,anon_delete_privilege,rls_enabled,effective_policy_names,policy_business_predicate,trigger_names,trigger_mentions_child_and_business,composite_same_business_fk,exploitability_rank,exploitability_reason,same_business_assessment,recommended_remediation
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","appointments","table_type_id","public","booking_tables","id","appointments_table_type_id_fkey","direct:business_id","f","f","f","f","f","f","t","appointments_branch_visibility:SELECT;appointments_sa_read:SELECT;appointments_v47_read:SELECT;appointments_v94_branch_module_select:SELECT","t","trg_appointment_completed;trg_appointments_default_branch;whatsapp_appointment_booked_v557;whatsapp_appointment_moved_v581;zz_appointments_guard_staff_blocked_time_v120","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","attention_outreach_v550","client_id","public","clients","id","attention_outreach_v550_client_id_fkey","direct:business_id","f","f","f","f","f","f","t","attention_outreach_v550_read:SELECT","t","attention_outreach_v550_immutable","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","bar_bottle_events","bottle_id","public","bar_bottles","id","bar_bottle_events_bottle_id_fkey","direct:business_id","f","f","f","f","f","f","t","","f","bar_bottle_events_immutable","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","No catalog-level same-business proof found.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","billing_adjustments","reversal_of","public","billing_adjustments","id","billing_adjustments_reversal_of_fkey","direct:business_id","f","f","f","f","f","f","t","","f","billing_adjustment_consultant_v78;billing_adjustments_append_only;billing_adjustments_insert_guard;billing_adjustments_no_gst_v125;billing_adjustments_payment_v510;platform_billing_adjustment_post_v147","t","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","A trigger mentions the child reference and business; no composite FK is present, so the trigger must be manually verified as a complete invariant.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","billing_commands","requested_branch_id","public","branches","id","billing_commands_requested_branch_id_fkey","direct:business_id","f","f","f","f","f","f","t","","f","activate_branch_on_paid_command_v202","t","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","A trigger mentions the child reference and business; no composite FK is present, so the trigger must be manually verified as a complete invariant.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","billing_payment_attempts","provider_invoice_id","public","billing_provider_invoices","provider_invoice_id","billing_payment_attempts_provider_invoice_id_fkey","direct:business_id","f","f","f","f","f","f","t","","f","billing_payment_attempts_no_gst_v125","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","No catalog-level same-business proof found.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","billing_provider_subscription_items","provider_subscription_id","public","billing_provider_subscriptions","provider_subscription_id","billing_provider_subscription_ite_provider_subscription_id_fkey","derived:parent.business_id","f","f","f","f","f","f","t","","f","billing_provider_items_classify_v124;billing_provider_items_project_terms_v124","t","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","A trigger mentions the child reference and business; no composite FK is present, so the trigger must be manually verified as a complete invariant.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","booking_requests","appointment_id","public","appointments","id","booking_requests_appointment_id_fkey","direct:business_id","t","t","t","t","t","t","t","booking_requests_delete_v572:DELETE;booking_requests_insert_v572:INSERT;booking_requests_sa_read:SELECT;booking_requests_select:SELECT;booking_requests_update_v572:UPDATE","t","booking_requests_adoption_v100;trg_audit_book;trg_booking_request_notify;trg_booking_requests_customer_gate_v89;trg_guard_booking_customer_binding_v72;trg_link_booking_management_token","t","false","HIGH-CONDITIONAL","Authenticated browser DML exists; RLS proves the child tenant/module only, while the simple FK does not bind the referenced parent row to that tenant. A known foreign UUID could create a cross-tenant association.","RLS contains a business predicate and a trigger mentions the child reference/business; this is not equivalent to a composite FK and requires manual path review.","Add a validated composite (child_reference,business_id) -> (parent_id,business_id) FK, or an equivalent hardened RPC/trigger. Preserve RLS, revoke unused browser verbs, and add a two-tenant known-UUID negative test."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","booking_requests","branch_id","public","branches","id","booking_requests_branch_id_fkey","direct:business_id","t","t","t","t","t","t","t","booking_requests_delete_v572:DELETE;booking_requests_insert_v572:INSERT;booking_requests_sa_read:SELECT;booking_requests_select:SELECT;booking_requests_update_v572:UPDATE","t","booking_requests_adoption_v100;trg_audit_book;trg_booking_request_notify;trg_booking_requests_customer_gate_v89;trg_guard_booking_customer_binding_v72;trg_link_booking_management_token","f","false","HIGH-CONDITIONAL","Authenticated browser DML exists; RLS proves the child tenant/module only, while the simple FK does not bind the referenced parent row to that tenant. A known foreign UUID could create a cross-tenant association.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a validated composite (child_reference,business_id) -> (parent_id,business_id) FK, or an equivalent hardened RPC/trigger. Preserve RLS, revoke unused browser verbs, and add a two-tenant known-UUID negative test."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","booking_requests","service_id","public","services","id","booking_requests_service_id_fkey","direct:business_id","t","t","t","t","t","t","t","booking_requests_delete_v572:DELETE;booking_requests_insert_v572:INSERT;booking_requests_sa_read:SELECT;booking_requests_select:SELECT;booking_requests_update_v572:UPDATE","t","booking_requests_adoption_v100;trg_audit_book;trg_booking_request_notify;trg_booking_requests_customer_gate_v89;trg_guard_booking_customer_binding_v72;trg_link_booking_management_token","f","false","HIGH-CONDITIONAL","Authenticated browser DML exists; RLS proves the child tenant/module only, while the simple FK does not bind the referenced parent row to that tenant. A known foreign UUID could create a cross-tenant association.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a validated composite (child_reference,business_id) -> (parent_id,business_id) FK, or an equivalent hardened RPC/trigger. Preserve RLS, revoke unused browser verbs, and add a two-tenant known-UUID negative test."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","booking_requests","staff_id","public","staff","id","booking_requests_staff_id_fkey","direct:business_id","t","t","t","t","t","t","t","booking_requests_delete_v572:DELETE;booking_requests_insert_v572:INSERT;booking_requests_sa_read:SELECT;booking_requests_select:SELECT;booking_requests_update_v572:UPDATE","t","booking_requests_adoption_v100;trg_audit_book;trg_booking_request_notify;trg_booking_requests_customer_gate_v89;trg_guard_booking_customer_binding_v72;trg_link_booking_management_token","f","false","HIGH-CONDITIONAL","Authenticated browser DML exists; RLS proves the child tenant/module only, while the simple FK does not bind the referenced parent row to that tenant. A known foreign UUID could create a cross-tenant association.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a validated composite (child_reference,business_id) -> (parent_id,business_id) FK, or an equivalent hardened RPC/trigger. Preserve RLS, revoke unused browser verbs, and add a two-tenant known-UUID negative test."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","booking_requests","table_type_id","public","booking_tables","id","booking_requests_table_type_id_fkey","direct:business_id","t","t","t","t","t","t","t","booking_requests_delete_v572:DELETE;booking_requests_insert_v572:INSERT;booking_requests_sa_read:SELECT;booking_requests_select:SELECT;booking_requests_update_v572:UPDATE","t","booking_requests_adoption_v100;trg_audit_book;trg_booking_request_notify;trg_booking_requests_customer_gate_v89;trg_guard_booking_customer_binding_v72;trg_link_booking_management_token","f","false","HIGH-CONDITIONAL","Authenticated browser DML exists; RLS proves the child tenant/module only, while the simple FK does not bind the referenced parent row to that tenant. A known foreign UUID could create a cross-tenant association.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a validated composite (child_reference,business_id) -> (parent_id,business_id) FK, or an equivalent hardened RPC/trigger. Preserve RLS, revoke unused browser verbs, and add a two-tenant known-UUID negative test."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","branch_breaks","branch_id","public","branches","id","branch_breaks_branch_id_fkey","direct:business_id","t","t","t","f","f","f","t","branch_breaks_sa_read:SELECT;branch_breaks_select:SELECT;branch_breaks_write:ALL","t","","f","false","MEDIUM-CONDITIONAL","Authenticated browser DML exists; the simple FK does not bind the referenced parent row to the child tenant. Owner/module RLS reduces exposure but does not provide database-level referential proof.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a validated composite (child_reference,business_id) -> (parent_id,business_id) FK, or an equivalent hardened RPC/trigger. Preserve RLS, revoke unused browser verbs, and add a two-tenant known-UUID negative test."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","branch_hours","branch_id","public","branches","id","branch_hours_branch_id_fkey","direct:business_id","t","t","t","f","f","f","t","branch_hours_sa_read:SELECT;branch_hours_select:SELECT;branch_hours_write:ALL","t","","f","false","MEDIUM-CONDITIONAL","Authenticated browser DML exists; the simple FK does not bind the referenced parent row to the child tenant. Owner/module RLS reduces exposure but does not provide database-level referential proof.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a validated composite (child_reference,business_id) -> (parent_id,business_id) FK, or an equivalent hardened RPC/trigger. Preserve RLS, revoke unused browser verbs, and add a two-tenant known-UUID negative test."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","bringback_grants_v361","campaign_id","public","bringback_campaigns_v361","id","bringback_grants_v361_campaign_id_fkey","direct:business_id","t","t","t","f","f","f","t","bringback_grants_v361_read:SELECT","t","bringback_grants_v361_enqueue_send_v551;trg_bringback_grant_signal_v494","t","false","MEDIUM-CONDITIONAL","Authenticated browser DML exists; the simple FK does not bind the referenced parent row to the child tenant. Owner/module RLS reduces exposure but does not provide database-level referential proof.","RLS contains a business predicate and a trigger mentions the child reference/business; this is not equivalent to a composite FK and requires manual path review.","Add a validated composite (child_reference,business_id) -> (parent_id,business_id) FK, or an equivalent hardened RPC/trigger. Preserve RLS, revoke unused browser verbs, and add a two-tenant known-UUID negative test."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","bringback_grants_v361","client_id","public","clients","id","bringback_grants_v361_client_id_fkey","direct:business_id","t","t","t","f","f","f","t","bringback_grants_v361_read:SELECT","t","bringback_grants_v361_enqueue_send_v551;trg_bringback_grant_signal_v494","t","false","MEDIUM-CONDITIONAL","Authenticated browser DML exists; the simple FK does not bind the referenced parent row to the child tenant. Owner/module RLS reduces exposure but does not provide database-level referential proof.","RLS contains a business predicate and a trigger mentions the child reference/business; this is not equivalent to a composite FK and requires manual path review.","Add a validated composite (child_reference,business_id) -> (parent_id,business_id) FK, or an equivalent hardened RPC/trigger. Preserve RLS, revoke unused browser verbs, and add a two-tenant known-UUID negative test."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","bringback_grants_v361","redeemed_sale_id","public","sales","id","bringback_grants_v361_redeemed_sale_id_fkey","direct:business_id","t","t","t","f","f","f","t","bringback_grants_v361_read:SELECT","t","bringback_grants_v361_enqueue_send_v551;trg_bringback_grant_signal_v494","f","false","MEDIUM-CONDITIONAL","Authenticated browser DML exists; the simple FK does not bind the referenced parent row to the child tenant. Owner/module RLS reduces exposure but does not provide database-level referential proof.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a validated composite (child_reference,business_id) -> (parent_id,business_id) FK, or an equivalent hardened RPC/trigger. Preserve RLS, revoke unused browser verbs, and add a two-tenant known-UUID negative test."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","bundle_items","bundle_id","public","bundles","id","bundle_items_bundle_id_fkey","derived:parent.business_id","f","f","f","f","f","f","t","bundle_items_member_read_v123:SELECT;bundle_items_sa_read:SELECT","t","","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","bundle_items","product_id","public","products","id","bundle_items_product_id_fkey","derived:parent.business_id","f","f","f","f","f","f","t","bundle_items_member_read_v123:SELECT;bundle_items_sa_read:SELECT","t","","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","bundle_items","service_id","public","services","id","bundle_items_service_id_fkey","derived:parent.business_id","f","f","f","f","f","f","t","bundle_items_member_read_v123:SELECT;bundle_items_sa_read:SELECT","t","","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","business_featured_offer_v462","promotion_id","public","business_customer_content_v95","id","business_featured_offer_v462_promotion_id_fkey","direct:business_id","f","f","f","f","f","f","t","","f","","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","No catalog-level same-business proof found.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","business_onboarding_events","checklist_id","public","business_onboarding_checklists","id","business_onboarding_events_checklist_id_fkey","direct:business_id","f","f","f","f","f","f","t","","f","business_onboarding_events_immutable_guard","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","No catalog-level same-business proof found.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","business_onboarding_items","checklist_id","public","business_onboarding_checklists","id","business_onboarding_items_checklist_id_fkey","direct:business_id","f","f","f","f","f","f","t","","f","aa_business_onboarding_payment_v510;business_onboarding_items_v511_projection;business_onboarding_items_v513_touch","t","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","A trigger mentions the child reference and business; no composite FK is present, so the trigger must be manually verified as a complete invariant.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","change_requests","appointment_id","public","appointments","id","change_requests_appointment_id_fkey","direct:business_id","t","t","t","t","t","t","t","change_requests_sa_read:SELECT;change_requests_select:SELECT;change_requests_update_v572:UPDATE","t","trg_change_request_notify;trg_change_requests_audit","t","false","HIGH-CONDITIONAL","Authenticated browser DML exists; RLS proves the child tenant/module only, while the simple FK does not bind the referenced parent row to that tenant. A known foreign UUID could create a cross-tenant association.","RLS contains a business predicate and a trigger mentions the child reference/business; this is not equivalent to a composite FK and requires manual path review.","Add a validated composite (child_reference,business_id) -> (parent_id,business_id) FK, or an equivalent hardened RPC/trigger. Preserve RLS, revoke unused browser verbs, and add a two-tenant known-UUID negative test."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","client_erasures_v290","client_id","public","clients","id","client_erasures_v290_client_id_fkey","direct:business_id","f","f","f","f","f","f","t","","f","","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","No catalog-level same-business proof found.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","client_packages","client_id","public","clients","id","client_packages_client_id_fkey","direct:business_id","t","t","t","t","t","t","t","client_packages_sa_read:SELECT;cpkg_select:SELECT","t","","f","false","MEDIUM-CONDITIONAL","Authenticated browser DML exists; the simple FK does not bind the referenced parent row to the child tenant. Owner/module RLS reduces exposure but does not provide database-level referential proof.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a validated composite (child_reference,business_id) -> (parent_id,business_id) FK, or an equivalent hardened RPC/trigger. Preserve RLS, revoke unused browser verbs, and add a two-tenant known-UUID negative test."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","client_packages","plan_id","public","package_plans","id","client_packages_plan_id_fkey","direct:business_id","t","t","t","t","t","t","t","client_packages_sa_read:SELECT;cpkg_select:SELECT","t","","f","false","MEDIUM-CONDITIONAL","Authenticated browser DML exists; the simple FK does not bind the referenced parent row to the child tenant. Owner/module RLS reduces exposure but does not provide database-level referential proof.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a validated composite (child_reference,business_id) -> (parent_id,business_id) FK, or an equivalent hardened RPC/trigger. Preserve RLS, revoke unused browser verbs, and add a two-tenant known-UUID negative test."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","commerce_refund_allocations_v106","sale_item_id","public","sale_items","id","commerce_refund_alloc_v106_item_fk","direct:business_id","f","f","f","f","f","f","t","commerce_refund_alloc_v106_finance_read:SELECT","t","refresh_growth_outcome_residual_v108;trg_v106_refund_alloc_append_only","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","consents","client_id","public","clients","id","consents_client_id_fkey","direct:business_id","f","f","f","f","f","f","t","consents_sa_read:SELECT;consents_v41_read:SELECT","t","consents_v572_no_update","f","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","RLS contains a business predicate for the child row, but no composite child-reference/business proof is present.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
"gadpooereceldfpfxsod","2026-08-29T00:00:00Z","public","consultant_commission_accruals","attribution_id","public","consultant_commission_attributions","id","consultant_commission_accruals_attribution_id_fkey","direct:business_id","f","f","f","f","f","f","t","","f","consultant_commission_accruals_guard","t","false","LOW-SERVER-ONLY","No authenticated browser DML privilege was observed. This is likely server/RPC-only, but future privileged writes still need a same-business invariant.","A trigger mentions the child reference and business; no composite FK is present, so the trigger must be manually verified as a complete invariant.","Add a composite same-business FK for server-written relationships where semantically tenant-bound; otherwise explicitly revoke anon/authenticated DML and regression-test every RPC/trigger writer."
